"Provincia","Provincia_id","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Huamalies","1005",0,0,1,5,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Tocache","2210",0,0,0,1,1,3,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Padre Abad","2503",0,3,1,4,2,0,0,5,0,2,15,6,0,0,2,0,3,0,0,0,0,0,2,0
"Alto Amazonas","1602",1,2,3,0,13,4,0,13,6,27,2,2,0,1,0,6,1,0,2,0,0,0,2,0
"San Ignacio","0609",0,1,3,0,0,1,0,0,1,0,0,1,2,2,0,1,0,0,0,0,0,0,1,0
"Acomayo","0802",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Ambo","1002",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Carhuaz","0206",1,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Atalaya","2502",0,1,1,0,1,3,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"Lamas","2205",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Caraveli","0403",0,0,0,0,1,0,1,0,0,1,4,1,0,4,5,0,0,0,0,0,0,0,9,2
"Rioja","2208",0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Lambayeque","1403",0,1,0,1,0,3,1,2,1,1,1,1,9,2,0,1,1,1,2,0,1,4,5,1
"Morropon","2004",1,1,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,0,0,0,0,1,1
"Huaylas","0212",0,0,0,0,4,0,0,1,8,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"Casma","0208",1,1,0,2,3,0,0,0,1,1,2,2,2,3,4,0,0,0,1,0,0,0,3,0
"Oyon","1509",0,0,0,1,0,0,0,4,2,0,6,2,0,1,2,0,1,0,0,0,0,2,1,0
"Santiago De Chuco","1310",1,1,0,0,0,0,0,0,3,1,1,0,0,13,0,1,1,0,0,0,0,2,0,0
